"Instituto","Campus","Co_unidade_ensino","Cidade","Sigla"
"INSTITUTO FEDERAL DO ACRE","CAMPUS CRUZEIRO DO SUL","14329","CRUZEIRO DO SUL","AC"
"INSTITUTO FEDERAL DO ACRE","CAMPUS AVANÇADO RIO BRANCO BAIXADA DO SOL","31976","RIO BRANCO","AC"
"INSTITUTO FEDERAL DO ACRE","CAMPUS RIO BRANCO","13912","RIO BRANCO","AC"
"INSTITUTO FEDERAL DO ACRE","CAMPUS SENA MADUREIRA","14328","SENA MADUREIRA","AC"
"INSTITUTO FEDERAL DO ACRE","CAMPUS TARAUACÁ","42624","TARAUACÁ","AC"
"INSTITUTO FEDERAL DO ACRE","CAMPUS XAPURI","20409","XAPURI","AC"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS ARAPIRACA","14547","ARAPIRACA","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS BATALHA","32006","BATALHA","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS CORURIPE","32010","CORURIPE","AL"
"IFAL","CAMPUS AVANÇADO MACEIÓ BENEDITO BENTES","43089","MACEIÓ","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS MACEIÓ","2854","MACEIÓ","AL"
"UNIVERSIDADE FEDERAL DE ALAGOAS","ESCOLA TÉCNICA DE ARTES","3820","MACEIÓ","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS MARAGOGI","14549","MARAGOGI","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS MARECHAL DEODORO","2870","MARECHAL DEODORO","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS MURICI","14551","MURICI","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS PALMEIRA DOS ÍNDIOS","2864","PALMEIRA DOS ÍNDIOS","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS PENEDO","14548","PENEDO","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS PIRANHAS","14550","PIRANHAS","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS RIO LARGO","32016","RIO LARGO","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS SANTANA DO IPANEMA","14552","SANTANA DO IPANEMA","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS SÃO MIGUEL DOS CAMPOS","14553","SÃO MIGUEL DOS CAMPOS","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS SATUBA","2855","SATUBA","AL"
"INSTITUTO FEDERAL DE ALAGOAS","CAMPUS VIÇOSA","32002","VIÇOSA","AL"
"INSTITUTO FEDERAL DO AMAPÁ","CAMPUS LARANJAL DO JARI","14131","LARANJAL DO JARI","AP"
"INSTITUTO FEDERAL DO AMAPÁ","CAMPUS MACAPÁ","14183","MACAPÁ","AP"
"INSTITUTO FEDERAL DO AMAPÁ","CAMPUS AVANÇADO OIAPOQUE","44312","OIAPOQUE","AP"
"INSTITUTO FEDERAL DO AMAPÁ","CENTRO DE REFERÊNCIA PEDRA BRANCA DO AMAPARI","32607","PEDRA BRANCA DO AMAPARI","AP"
"INSTITUTO FEDERAL DO AMAPÁ","CAMPUS PORTO GRANDE","32107","PORTO GRANDE","AP"
"INSTITUTO FEDERAL DO AMAPÁ","CAMPUS SANTANA","32109","SANTANA","AP"
"INSTITUTO FEDERAL DE EDUCAÇÃO DO AMAZONAS","CAMPUS AVANÇADO BOCA DO ACRE","47848","BOCA DO ACRE","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS COARI","2897","COARI","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS EIRUNEPÉ","32456","EIRUNEPÉ","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS HUMAITÁ","32063","HUMAITÁ","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS AVANÇADO IRANDUBA","43368","IRANDUBA","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS ITACOATIARA","32455","ITACOATIARA","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS LÁBREA","13779","LÁBREA","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS AVANÇADO MANACAPURU","32491","MANACAPURU","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS MANAUS CENTRO","2889","MANAUS","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS MANAUS DISTRITO INDUSTRIAL","2893","MANAUS","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS MANAUS ZONA LESTE","2902","MANAUS","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS MAUÉS","13783","MAUÉS","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS PARINTINS","13792","PARINTINS","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS PRESIDENTE FIGUEIREDO","13795","PRESIDENTE FIGUEIREDO","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS SÃO GABRIEL DA CACHOEIRA","2983","SÃO GABRIEL DA CACHOEIRA","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS TABATINGA","13796","TABATINGA","AM"
"INSTITUTO FEDERAL DO AMAZONAS","CAMPUS TEFÉ","32454","TEFÉ","AM"
"INSTITUTO FEDERAL BAIANO","CAMPUS ALAGOINHAS","31999","ALAGOINHAS","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS BARREIRAS","2886","BARREIRAS","BA"
"INSTITUTO FEDERAL BAIANO","CAMPUS BOM JESUS DA LAPA","13623","BOM JESUS DA LAPA","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS BRUMADO","32087","BRUMADO","BA"
"INSTITUTO FEDERAL DA BAHIA","CAMPUS CAMAÇARI","2882","CAMAÇARI","BA"
