"INICIO","CICLO","CURSO_SISTEC","CURSO_QACADEMICO","CAMPUS"
"2020.1",2682338,"ADMINISTRAÇÃO","BACHARELADO EM ADMINISTRAÇÃO","IGARASSU"
"2019.1",2596200,"ADMINISTRAÇÃO","BACHARELADO EM ADMINISTRAÇÃO - CB","CABO DE SANTO AGOSTINHO"
"2019.2",2635682,"ENFERMAGEM","BACHARELADO EM ENFERMAGEM","PESQUEIRA"
"2019.1",2580295,"ENGENHARIA CIVIL","BACHARELADO EM ENGENHARIA CIVIL","RECIFE"
"2019.2",2671191,"ENGENHARIA CIVIL","BACHARELADO EM ENGENHARIA CIVIL","RECIFE"
"2020.1",2681665,"ENGENHARIA CIVIL","BACHARELADO EM ENGENHARIA CIVIL","AFOGADOS DA INGAZEIRA"
"2019.2",2635346,"ENGENHARIA DE SOFTWARE","BACHARELADO EM ENGENHARIA DE SOFTWARE - BJ","BELO JARDIM"
"2019.2",2665883,"ENGENHARIA MECÂNICA","BACHARELADO EM ENGENHARIA MECÂNICA","IPOJUCA"
"2019.2",2648813,"BOAS PRÁTICAS DE FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","BOAS PRÁTICAS DE FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","BELO JARDIM"
"2019.1",2603752,"ESPANHOL","CURSO BÁSICO DE ESPANHOL I","ABREU E LIMA"
"2019.2",2675473,"LIBRAS","CURSO BÁSICO DE LIBRAS","PESQUEIRA"
"2019.1",2608143,"PROGRAMADOR WEB","CURSO BÁSICO DE PROGRAMAÇÃO WEB - PM","PALMARES"
"2019.2",2670375,"ALMOXARIFE","CURSO DE ALMOXARIFE - SEE _ PE","CABO DE SANTO AGOSTINHO"
"2019.2",2635690,"ENGENHARIA ELÉTRICA","CURSO DE BACHARELADO EM ENGENHARIA ELÉTRICAS PS","PESQUEIRA"
"2019.2",2675481,"CAPACITAÇÃO EM SISTEMAS FOTOVOLTÁICOS PARA MULHERES","CURSO DE CAPACITAÇÃO EM SISTEMAS FOTOVOLTAICOS PARA MULHERES","PESQUEIRA"
"2019.2",2675495,"ELETRÔNICA BÁSICA PARA ROBÓTICA","CURSO DE ELETRÔNICA BÁSICA PARA ROBÓTICA","PESQUEIRA"
"2019.1",2603757,"ESPANHOL","CURSO DE EXTENSÃO ESPANHOL III","ABREU E LIMA"
"2019.2",2675494,"INVESTIMENTO EM FÍSICA 1 PRÓ IFPE ÊXITO","CURSO DE EXTENSÃO INVESTIMENTO EM FÍSICA 1","PESQUEIRA"
"2019.2",2634190,"QUALIFICAÇÃO EM SUPORTE E MANUTENÇÃO DE COMPUTADORES","CURSO DE QUALIF EM SUPORTE E MANUTENÇÃO DE COMPUTADORES IF _ SEE  AF","AFOGADOS DA INGAZEIRA"
"2019.2",2631580,"QUALIFICAÇÃO PROFISSIONAL EM PANIFICAÇÃO E CONFEITARIA","CURSO DE QUALIFICAÇÃO EM PANIFICAÇÃO E CONFEITARIA _ PE - IF AF","AFOGADOS DA INGAZEIRA"
"2019.2",2635753,"ASSISTENTE ADMINISTRATIVO","CURSO DE QUALIFICAÇÃO PROFISSIONAL DE ASSISTENTE ADMINISTRATIVO SEE_PE PROEJA MULHERES _ SEE-PE","PAULISTA"
"2019.2",2635156,"OPERADOR INDUSTRIAL DE ALIMENTOS","CURSO DE QUALIFICAÇÃO PROFISSIONAL DE OPERADOR INDUSTRIAL EM ALIMENTOS - SEE","BELO JARDIM"
"2019.2",2640576,"ALMOXARIFE","CURSO DE QUALIFICAÇÃO PROFISSIONAL EM ALMOXARIFE PROEJA - SEE_PE","IGARASSU"
"2019.2",2640578,"OPERADOR DE COMPUTADOR","CURSO DE QUALIFICAÇÃO PROFISSIONAL EM OPERADOR DE COMPUTADOR - PROEJA SEE_PE","IGARASSU"
"2019.2",2635764,"OPERADOR DE COMPUTADOR","CURSO DE QUALIFICAÇÃO PROFISSIONAL EM OPERADOR DE COMPUTADOR - SEE _ PE","PAULISTA"
"2019.2",2636344,"OPERADOR DE COMPUTADOR","CURSO DE QUALIFICAÇÃO PROFISSIONAL EM OPERADOR DE COMPUTADOR PROEJA SEE_PE","PALMARES"
"2019.2",2628704,"QUALIFICAÇÃO PROFISSIONAL EM OPERADOR DE COMPUTADOR","CURSO DE QUALIFICAÇÃO PROFISSIONAL EM OPERADOR DE COMPUTADOR PROEJA_SEE-PE","GARANHUNS"
"2019.1",2602765,"ESPANHOL BÁSICO II","CURSO ESPANHOL BÁSICO II EXT CR","CARUARU"
"2019.1",2582953,"TÉCNICO EM AGROPECUÁRIA","CURSO INTEGRADO DE AGROPECUARIA  VT","VITÓRIA DE SANTO ANTÃO"
"2019.1",2592488,"ENGENHARIA MECÂNICA","CURSO SUPERIOR BACHARELADO EM ENGENHARIA MECÂNICA -CR","CARUARU"
"2019.1",2572585,"GESTÃO DA QUALIDADE","CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DA QUALIDADE","IGARASSU"
"2019.2",2631726,"GESTÃO DA QUALIDADE","CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DA QUALIDADE","IGARASSU"
"2020.1",2680850,"GESTÃO DA QUALIDADE","CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DA QUALIDADE","IGARASSU"
"2019.1",2585555,"TÉCNICO EM ELETROELETRÔNICA","CURSO TÉC ELETROELETRÔNICA  SUB 2014_1 GR","GARANHUNS"
"2019.2",2627744,"TÉCNICO EM ELETROELETRÔNICA","CURSO TÉC ELETROELETRÔNICA  SUB 2014_1 GR","GARANHUNS"
"2020.1",2675771,"TÉCNICO EM ELETROELETRÔNICA","CURSO TÉC ELETROELETRÔNICA  SUB 2014_1 GR","GARANHUNS"
"2019.1",2578401,"TÉCNICO EM SANEAMENTO","CURSO TEC EM SANEAMENTO INTEG_ REG RC 2014_1","RECIFE"
"2019.1",2592436,"TÉCNICO EM SEGURANÇA DO TRABALHO","CURSO TÉC EM SEGURANÇA DO TRABALHO SUB RC 2014_1","RECIFE"
"2019.2",2635631,"TÉCNICO EM SEGURANÇA DO TRABALHO","CURSO TÉC EM SEGURANÇA DO TRABALHO SUB RC 2014_1","RECIFE"
"2019.1",2593332,"TÉCNICO EM SEGURANÇA DO TRABALHO","CURSO TÉC INTEGRADO DE SEGURANÇA DO TRABALHO - RECIFE 2014_1","RECIFE"
"2019.2",2645642,"TÉCNICO EM SEGURANÇA DO TRABALHO","CURSO TÉC INTEGRADO DE SEGURANÇA DO TRABALHO - RECIFE 2014_1","RECIFE"
"2019.1",2582948,"TÉCNICO EM AGROINDÚSTRIA","CURSO TÉCNICO  INTEGRADO DE AGROINDUSTRIA  VT","VITÓRIA DE SANTO ANTÃO"
"2019.1",2571150,"TÉCNICO EM SANEAMENTO","CURSO TÉCNICO DE SANEAMENTO INTEGRADO - AF 2013","AFOGADOS DA INGAZEIRA"
"2020.1",2679919,"TÉCNICO EM SANEAMENTO","CURSO TÉCNICO DE SANEAMENTO INTEGRADO - AF 2013","AFOGADOS DA INGAZEIRA"
"2019.1",2580197,"TÉCNICO EM ADMINISTRAÇÃO","CURSO TÉCNICO EM ADMINISTRAÇÃO - PAULISTA","PAULISTA"
"2019.2",2628995,"TÉCNICO EM ADMINISTRAÇÃO","CURSO TÉCNICO EM ADMINISTRAÇÃO - PAULISTA","PAULISTA"
"2019.1",2582961,"TÉCNICO EM AGRICULTURA","CURSO TÉCNICO EM AGRICULTURA SUB VT 2012_1","VITÓRIA DE SANTO ANTÃO"
"2019.2",2629634,"TÉCNICO EM AGRICULTURA","CURSO TÉCNICO EM AGRICULTURA SUB VT 2012_1","VITÓRIA DE SANTO ANTÃO"
"2019.1",2582967,"TÉCNICO EM AGROINDÚSTRIA","CURSO TÉCNICO EM AGROINDUSTRIA - SUB  VT_ 2012_1","VITÓRIA DE SANTO ANTÃO"
"2019.2",2629632,"TÉCNICO EM AGROINDÚSTRIA","CURSO TÉCNICO EM AGROINDUSTRIA - SUB  VT_ 2012_1","VITÓRIA DE SANTO ANTÃO"
"2019.1",2577480,"TÉCNICO EM AGROINDÚSTRIA","CURSO TÉCNICO EM AGROINDÚSTRIA - SUBSEQUENTE - BJ","BELO JARDIM"
"2019.2",2635493,"TÉCNICO EM AGROINDÚSTRIA","CURSO TÉCNICO EM AGROINDÚSTRIA - SUBSEQUENTE - BJ","BELO JARDIM"
"2019.1",2577482,"TÉCNICO EM AGROINDÚSTRIA","CURSO TÉCNICO EM AGROINDÚSTRIA INT REG BJ 2012_1 ANUAL","BELO JARDIM"
"2019.1",2576526,"TÉCNICO EM AGROPECUÁRIA","CURSO TÉCNICO EM AGROPECUÁRIA - SUBSEQUENTE - BJ","BELO JARDIM"
"2019.2",2635498,"TÉCNICO EM AGROPECUÁRIA","CURSO TÉCNICO EM AGROPECUÁRIA - SUBSEQUENTE - BJ","BELO JARDIM"
"2019.1",2576651,"TÉCNICO EM AGROPECUÁRIA","CURSO TÉCNICO EM AGROPECUÁRIA INT REGULAR 2012_1 ANUAL","BELO JARDIM"
"2019.1",2580008,"TÉCNICO EM AGROPECUÁRIA","CURSO TÉCNICO EM AGROPECUÁRIA INT REGULAR 2012_1 ANUAL","BELO JARDIM"
"2019.1",2586149,"TÉCNICO EM AGROPECUÁRIA","CURSO TÉCNICO EM AGROPECUÁRIA INTEGRADO BR","BARREIROS"
"2020.1",2681235,"TÉCNICO EM AGROPECUÁRIA","CURSO TÉCNICO EM AGROPECUÁRIA INTEGRADO BR","BARREIROS"
"2019.1",2578931,"TÉCNICO EM ARTES VISUAIS","CURSO TÉCNICO EM ARTES VISUAIS - SUB OLINDA","OLINDA"
"2019.2",2639722,"TÉCNICO EM ARTES VISUAIS","CURSO TÉCNICO EM ARTES VISUAIS - SUB OLINDA","OLINDA"
"2019.2",2639718,"TÉCNICO EM ARTES VISUAIS","CURSO TÉCNICO EM ARTES VISUAIS - SUB OLINDA","OLINDA"
"2020.1",2674621,"TÉCNICO EM ARTES VISUAIS","CURSO TÉCNICO EM ARTES VISUAIS - SUB OLINDA","OLINDA"
"2020.1",2674622,"TÉCNICO EM ARTES VISUAIS","CURSO TÉCNICO EM ARTES VISUAIS - SUB OLINDA","OLINDA"
"2019.1",2578938,"TÉCNICO EM COMPUTAÇÃO GRÁFICA","CURSO TÉCNICO EM COMPUTAÇÃO GRÁFICA - SUB OLINDA","OLINDA"
"2019.2",2639735,"TÉCNICO EM COMPUTAÇÃO GRÁFICA","CURSO TÉCNICO EM COMPUTAÇÃO GRÁFICA - SUB OLINDA","OLINDA"
"2019.2",2639736,"TÉCNICO EM COMPUTAÇÃO GRÁFICA","CURSO TÉCNICO EM COMPUTAÇÃO GRÁFICA - SUB OLINDA","OLINDA"
"2020.1",2674623,"TÉCNICO EM COMPUTAÇÃO GRÁFICA","CURSO TÉCNICO EM COMPUTAÇÃO GRÁFICA - SUB OLINDA","OLINDA"
"2020.1",2674759,"TÉCNICO EM COMPUTAÇÃO GRÁFICA","CURSO TÉCNICO EM COMPUTAÇÃO GRÁFICA - SUB OLINDA","OLINDA"
"2019.1",2591804,"TÉCNICO EM CONSTRUÇÃO NAVAL","CURSO TÉCNICO EM CONSTRUÇÃO NAVAL","IPOJUCA"
"2019.2",2649336,"TÉCNICO EM CONSTRUÇÃO NAVAL","CURSO TÉCNICO EM CONSTRUÇÃO NAVAL","IPOJUCA"
"2019.1",2591805,"TÉCNICO EM EDIFICAÇÕES","CURSO TÉCNICO EM EDIFICAÇÕES - INT CR","CARUARU"
"2019.1",2585549,"TÉCNICO EM ELETROELETRÔNICA","CURSO TÉCNICO EM ELETROELETRÔNICA - INT GR","GARANHUNS"
"2020.1",2675769,"TÉCNICO EM ELETROELETRÔNICA","CURSO TÉCNICO EM ELETROELETRÔNICA - INT GR","GARANHUNS"
"2019.2",2643899,"TÉCNICO EM ENFERMAGEM","CURSO TÉCNICO EM ENFERMAGEM","ABREU E LIMA"
"2019.1",2596196,"TÉCNICO EM HOSPEDAGEM","CURSO TÉCNICO EM HOSPEDAGEM","CABO DE SANTO AGOSTINHO"
"2019.2",2649908,"TÉCNICO EM HOSPEDAGEM","CURSO TÉCNICO EM HOSPEDAGEM","CABO DE SANTO AGOSTINHO"
"2019.1",2591553,"TÉCNICO EM HOSPEDAGEM","CURSO TÉCNICO EM HOSPEDAGEM SUB BR","BARREIROS"
"2020.1",2682098,"TÉCNICO EM HOSPEDAGEM","CURSO TÉCNICO EM HOSPEDAGEM SUB BR","BARREIROS"
"2019.1",2585552,"TÉCNICO EM INFORMÁTICA","CURSO TÉCNICO EM INFORMÁTICA - INTEGRADO","GARANHUNS"
"2020.1",2675770,"TÉCNICO EM INFORMÁTICA","CURSO TÉCNICO EM INFORMÁTICA - INTEGRADO","GARANHUNS"
"2020.1",2677472,"TÉCNICO EM INFORMÁTICA PARA INTERNET","CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET","PALMARES"
"2019.1",2576661,"TÉCNICO EM INFORMÁTICA PARA INTERNET","CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET INT REG ANUAL 2012_1 - BJ","BELO JARDIM"
"2019.1",2576655,"TÉCNICO EM INFORMÁTICA PARA INTERNET","CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET SUB 2014_1","BELO JARDIM"
"2019.1",2572582,"TÉCNICO EM INFORMÁTICA PARA INTERNET","CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET SUB IGARASSU","IGARASSU"
"2019.2",2631713,"TÉCNICO EM INFORMÁTICA PARA INTERNET","CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET SUB IGARASSU","IGARASSU"
"2020.1",2680836,"TÉCNICO EM INFORMÁTICA PARA INTERNET","CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET SUB IGARASSU","IGARASSU"
"2019.1",2604048,"TÉCNICO EM INFORMÁTICA PARA INTERNET","CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET SUB JG","JABOATÃO DOS GUARARAPES"
"2019.2",2651020,"TÉCNICO EM INFORMÁTICA PARA INTERNET","CURSO TÉCNICO EM INFORMÁTICA PARA INTERNET SUB JG","JABOATÃO DOS GUARARAPES"
"2019.1",2585558,"TÉCNICO EM INFORMÁTICA","CURSO TÉCNICO EM INFORMÁTICA SUB 2014_1 - GR","GARANHUNS"
"2019.1",2596197,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA","CABO DE SANTO AGOSTINHO"
"2019.2",2670414,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA","CABO DE SANTO AGOSTINHO"
"2019.1",2572584,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA - SUB IGARASSU","IGARASSU"
"2019.2",2631718,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA - SUB IGARASSU","IGARASSU"
"2020.1",2682335,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA - SUB IGARASSU","IGARASSU"
"2019.1",2580221,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - PL","PAULISTA"
"2019.2",2628998,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - PL","PAULISTA"
"2019.1",2574190,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SUB PM","PALMARES"
"2019.2",2629460,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SUB PM","PALMARES"
"2020.1",2677475,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SUB PM","PALMARES"
"2019.1",2592020,"TÉCNICO EM MECATRÔNICA","CURSO TÉCNICO EM MECATRÔNICA - INTEGRADO CR - INT","CARUARU"
"2019.2",2642004,"TÉCNICO EM MECATRÔNICA","CURSO TÉCNICO EM MECATRÔNICA - SUB CR","CARUARU"
"2019.1",2585550,"TÉCNICO EM MEIO AMBIENTE","CURSO TÉCNICO EM MEIO AMBIENTE - INT  GR 2013_1","GARANHUNS"
